theta_0,theta_1,theta_2,theta_3,theta_4,time
0.9801424781769557,0.3649500985631483,5.442345232562516,3.776917009710014,4.448951217224888,0.0
0.9904858591331082,0.37827187651508504,5.456077395562681,3.791462043831029,4.461081303142549,0.010002000400080016
1.000825190676115,0.391590881678351,5.469809292305423,3.8060104064551927,4.473215149016301,0.020004000800160033
1.0111604700858783,0.40490710127075263,5.483540916404082,3.8205621117616126,4.485352762555988,0.03000600120024005
1.0214916943115575,0.4182205205068809,5.497272260407051,3.835117176107306,4.497494152692449,0.040008001600320066
1.0318188620393265,0.4315311312149568,5.511003319951112,3.8496756083580173,4.509639324408761,0.05001000200040008
1.0421419703098915,0.44483891811266574,5.524734087206615,3.8642374253294687,4.521788286960463,0.0600120024004801
1.0524610162479517,0.45814386678703173,5.538464554844742,3.8788026429203795,4.5339410490659295,0.07001400280056011
1.0627759969782071,0.471445962825079,5.552194715536676,3.893371277029469,4.5460976194435325,0.08001600320064013
1.0730869096253568,0.4847451918138315,5.565924561953603,3.9079433435554565,4.558258006811647,0.09001800360072015
1.0833937513141008,0.49804153934031337,5.579654086766704,3.9225188583970616,4.570422219888645,0.10002000400080016
1.0936965191691381,0.5113349909915487,5.593383282647164,3.937097837453004,4.5825902673929,0.11002200440088018
1.1039952110104114,0.5246255333701385,5.6071121424672805,3.951680295261348,4.594762157491505,0.1200240048009602
1.1142898260668999,0.5379131551369408,5.62084065950695,3.9662662436025444,4.606937897234279,0.1300260052010402
1.12458036218111,0.5511978429275173,5.634568826644996,3.980855696970498,4.619117494770423,0.14002800560112022
1.1348668171130225,0.5644795832568813,5.648296636736374,3.995448670020623,4.631300958314574,0.15003000600120026
1.1451491886226186,0.5777583626400462,5.662024082636036,4.010045177408335,4.643488296081368,0.16003200640128026
1.1554274744698794,0.5910341675920251,5.675751157198937,4.024645233789049,4.655679516285444,0.17003400680136027
1.1657016724147855,0.6043069846278315,5.689477853280029,4.039248853818179,4.6678746271414395,0.1800360072014403
1.175971780234561,0.6175768002581572,5.703204163721201,4.05385605214663,4.680073636868645,0.19003800760152031
1.1862377969946876,0.6308436006708151,5.7169300803883285,4.0684668430882,4.692276554034094,0.20004000800160032
1.1964997216286217,0.6441073720867087,5.730655595247307,4.0830812409912385,4.704483387169178,0.21004200840168036
1.2067575524022351,0.6573681008940586,5.744380700769816,4.097699260378782,4.716694144625093,0.22004400880176037
1.217011287581399,0.6706257734810862,5.7581053894275325,4.112320915773869,4.728908834753029,0.23004600920184037
1.2272609254319846,0.6838803762360126,5.771829653692135,4.126946221699534,4.741127465904179,0.2400480096019204
